COD_MESE,CD_CLUSTER,DES_TIPO_GIORNO,NUM_S_RICERCHE,NUM_S_RICERCHE_NOREG,NUM_S_RICERCHE_AREA1,NUM_S_RICERCHE_AREA2,NUM_S_RICERCHE_AREA3,NUM_S_RICERCHE_AREA4,NUM_S_RICERCHE_VATICANO,NUM_S_RICERCHE_ROMA,NUM_S_RICERCHE_MILANO,NUM_S_RICERCHE_NAPOLI,NUM_S_RICERCHE_TORINO,NUM_S_RICERCHE_LAVORATIVA,NUM_S_RICERCHE_NON_LAVORATIVA,NUM_S_SESSIONI_UNICHE
201308,cinema,Lavorativo,26134,10942,5109,2846,3845,3392,0,1058,1434,210,333,20830,5304,19306
201308,eventi,Lavorativo,7587,712,1894,1924,1870,1187,0,218,212,81,123,6460,1127,5104
201308,lavoro,Lavorativo,114394,49032,23695,19613,12489,9565,0,1643,2391,573,1282,96898,17496,65989
201308,lingue,Lavorativo,27065,8679,10615,3212,2417,2142,0,498,7053,136,335,21223,5842,16706
201308,misura,Lavorativo,1952,319,509,322,463,339,0,82,122,16,62,1683,269,1415
201308,musica,Lavorativo,32942,3183,9811,6344,7306,6298,0,1328,1555,314,1351,25636,7306,20233
201308,parchi,Lavorativo,782,71,126,118,274,193,0,4,8,1,2,575,207,463
201308,scuole,Lavorativo,75308,5084,18392,12021,16732,23064,15,2831,1373,1330,1153,60564,14744,44455
201308,stampa,Lavorativo,92457,24347,20447,16243,16938,14482,0,2589,2104,752,1842,80327,12130,57665
201308,stoffe,Lavorativo,31210,3763,11063,6262,6745,3377,0,1072,919,175,849,26100,5110,18835
201308,trofei,Lavorativo,16703,1690,5063,4004,3394,2552,0,611,381,204,503,14326,2377,10301
201308,argento,Lavorativo,70489,4801,20088,13942,15809,15849,0,2656,2084,1160,1831,58079,12410,41197
201308,autorip,Lavorativo,4188,367,1994,718,668,441,0,103,190,36,184,3623,565,2747
201308,energia,Lavorativo,142723,32922,32726,26202,26113,24760,0,2973,1596,828,1740,121867,20856,79048
201308,fiscale,Lavorativo,55835,4211,19915,10823,9639,11242,5,1955,8587,782,1225,45577,10258,32751
